すいとう, canteen
すてる, to throw away
すり, pickpocket
すべる, to slide
すきま, gap
すなお, obedient
すいてい, presumption
すんぽう, measurement
すいよう, Wednesday
すず, bell
せっとく, persuasion
せんきょ, election
せいさく, political measures
せだい, generation
せいふく, uniform
せいしょ, Bible
せんとう, battle
せいぎ, justice
せいめい, declaration
せんじゅつ, tactics
せってい, establishment
せいけん,  administration
せんりょう, occupying
せいさん,  settlement
せたい, household
せんすい, diving
せんい, fibre
せいざ, constellation
はだし, barefoot
せおう, to carry on one's back
せんでん, publicity
せいとう, political party
せんぞ, ancestor
せんろ, railway track
せんざい, detergent
せつぞく, connection
せいれき, Common Era
せんぷうき, electric fan
せいほうけい, square
せいもん, main gate
せともの, earthenware
せまる, to approach
せっする, to touch
せいしつ, nature
せっきん, getting closer
そうしょく, ornament
そう, monk
そうきん, remittance
それほど, to that degree
そののまま, without change
そのうち, before very long
そっちょく, frank
そのうえ, in addition
そんしつ, loss
そこなう, to harm
そうりつ, establishment
そくしん, promotion
そうじゅう, steering
そうぞう, creation
そしょう, lawsuit
そくめん, side
そうこ, storehouse
そくてい, measurement
そくりょう, measurement
そなえる, to furnish with
そうご, mutual
そうりだいじん, prime minister
そせん, ancestor
そうい, difference
そうしき, funeral
そしつ, makings
そうさく, creation
そうりょう, postage
そろえる, to collect
そろう, to be complete
たのしむ, to enjoy
たいりょく, physical strength
たんけん, exploration
たいがく, dropping out of school
たんそ, carbon
たすうけつ, majority decision
たまに, occasionally
たびたび, often
たとえ, example
たまらない, intolerable
たんす, chest of drawers
たいりつ, confrontation
ためらう, to hesitate
たちまち, in an instant
たき, waterfall
たけ, bamboo
たいこ, drum
たいそう, gymnastics
たんすい, fresh water
たんこう, coal mine
たいせき, capacity
たいいん, leaving hospital
ただ, ordinary
たかめる, to raise
たいさく, measure
たんき, short-term
たいせい, order
たいしょう, contrast
たいけい, system
ちち, milk
ちりょう,  treatment
ちんぎん, wages
ちゃくりく, landing
ひるま, daytime
ちゅうりつ, neutrality
ちょうり, cooking
ちょうかく,  hearing
ちけい, terrain
ちっそく, suffocation
ちょうてい, arbitration
ちっとも,  at all
ちょっかん, intuition
ちほう, district
ちょうしんき, stethoscope
ちゅうせい, Middle Ages
